Well Name,Stage #,Stage Time hrs,Total Stage Proppant,Total Stage Volume bbl,Avg Stage Pressure,Avg Stage Rate,Max Stage Pressure,Max Stage Rate bpm,Avg HHP
"TECPETROL FP-1285,FORTIN DE PIEDR",9,3.1,302700,9974.190476,11032,69,11745,71,18652.48714
YPF SOIL-360,12,2.383333333,538400,9197.619048,10702,71.1,10988,73.3,18645.23891
YPF LCav-101,11,1.883333333,534600,8517.809524,9164,83,9850,87,18637.88287
YPF LCav-840,13,2.016666667,531000,8823.952381,9164,83,9850,87,18637.88287
SHE.Nq.SB-1036(h),4,8.533333333,437900,14917.57143,10966,69.36,11980,70.29,18637.63195
"YPF RDMN-214(H),RINCON DEL MANG",11,2.733333333,407300,10855.7381,10561,72,11038,79,18632.49204
"TECPETROL FP-1283,FORTIN DE PIEDR",46,0.116666667,522400,9743.595238,9159,83,9752,84,18627.7138
YPF SOIL-360,7,2.366666667,537300,8740.428571,10855,70,10972,72,18619.21098
YPF SOIL-361,3,2.4,534200,9093.52381,10870,69.9,11150,73,18618.30434
YPF RDMN-82,18,3.1,505200,12668.64286,10647,71.3,11300,73,18601.5952
"TECPETROL FP-1286,FORTIN DE PIEDR",23,3.166666667,500000,11373.66667,11058,68.64,11384,70,18598.90027
"TECPETROL FP-1287,FORTIN DE PIEDR",13,2.5,503600,9369.071429,11042,68.71,11457,71,18590.92918
SHE.Nq.SB-1035(h),2,2.033333333,429000,8005.857143,11039,68.71,11399,70.22,18585.87822
SHE.Nq.SB-1044(h),9,2.366666667,429000,8204.904762,10987,69,11671,76,18576.40284
YPF Lach-203,42,1.75,520400,8593.857143,8654,87.6,9326,92.1,18576.09409
"YPF RDMN-214(H),RINCON DEL MANG",19,2.5,1533400,9559.595238,10982,69,11407,81,18567.94903
YPF LCav-70,2,2.65,4535,10477.2619,10581,71.6,11210,75,18564.06763
YPF SOIL-360,44,3.5,459300,12348.14286,10876,69.6,11800,79,18548.63024
"TECPETROL FP-1283,FORTIN DE PIEDR",42,2.233333333,535900,9621.571429,9429,80.27,10305,86,18546.08748
"TECPETROL FP-1285,FORTIN DE PIEDR",6,2.6,519800,9869.642857,10956,69,11253,71,18523.98922
YPF SOIL-360,5,2.483333333,534500,9442.404762,10639,71,10961,71.4,18509.40946
YPF LCav-98,14,2,529400,8433.404762,9309,81,10080,81,18476.57437
"TECPETROL FP-1287,FORTIN DE PIEDR",22,2.816666667,5043,9815.547619,10924,69,11255,76,18469.88483
"TECPETROL FP-1286,FORTIN DE PIEDR",3,2.6,523000,10929.97619,10908,69,11202,70,18442.83264
"TECPETROL FP-1286,FORTIN DE PIEDR",15,2.433333333,421900,8750,11000,68.42,11340,69.23,18442.04852
"TECPETROL FP-1286,FORTIN DE PIEDR",17,2.633333333,514700,8750,11000,68.42,11340,69.23,18442.04852
YPF LCav-71,6,2.633333333,453600,10238.52381,10449,72,10925,84,18434.89341
"TECPETROL FP-1286,FORTIN DE PIEDR",16,4.816666667,424400,12435.04762,11059,68,11600,70,18427.15021
"TECPETROL FP-1287,FORTIN DE PIEDR",5,2.833333333,526500,9620,10975,68.5,11203,70.58,18421.64911
YPF LCav-98,17,1.966666667,535400,8292.857143,9276,81,9290,82,18411.07572
YPF SOIL-361,7,2.283333333,528700,8510.857143,10650,70.5,10961,70.7,18398.0642
YPF LCav-101,5,2.033333333,489900,8818.785714,9385,80,10422,82,18397.4516
"YPF RDMN-217(H),RINCON DEL MANG",1,2.2,4913,8817.333333,10420,72,11150,74,18383.72948
YPF SOIL-363,1,2.433333333,531000,9320.309524,10706,70,11280,74,18363.63636
YPF RDMN-82,5,3.333333333,5171,12993.21429,10601,70.6,11330,77,18339.39231
YPF SOIL-360,8,2.466666667,532200,9165.166667,10894,68.7,11017,74,18339.07866
XOM.Nq.BdC-49(h),5,2.483333333,832700,17337.38095,10698,69.95,11146,75,18336.80716
YPF RDMN-82,1,3.216666667,541600,12245.71429,10655,70.2,11154,82.9,18328.3754
"TECPETROL FP-1281,FORTIN DE PIEDR",48,2.4,474300,9493.333333,10534,71,11607,84,18326.73364
"YPF RDMN-214(H),RINCON DEL MANG",8,2.533333333,487100,9557.571429,10684,70,11150,77,18325.90051
YPF RDMN-80,3,3.083333333,528800,12420.83333,10522,71,11137,74,18305.85641
"TECPETROL FP-1287,FORTIN DE PIEDR",24,3.433333333,5122,10227.11905,10811,69,11200,73,18278.82872
SHE.Nq.SB-1044(h),2,3.416666667,379900,18146.45238,10655,70,11820,70,18276.1578
YPF LCav-840,7,1.966666667,530300,8600.333333,9322,80,10300,82,18273.95246
SHE.Nq.SB-1043(h),2,13.8,530500,12647.61905,10754,69.34,11220,71,18272.04999
YPF SOIL-360,21,2.316666667,533800,9174.47619,10469,71.2,11235,74.6,18264.95467
"TECPETROL FP-1285,FORTIN DE PIEDR",11,2.416666667,519900,9579.02381,10769,69.18,11370,75.37,18255.31536
YPF SOIL-363,2,2.516666667,535000,9416.404762,10790,69,11131,75,18243.32272
"TECPETROL FP-1286,FORTIN DE PIEDR",19,2.55,522000,9438.857143,11026,67.52,11597,72.36,18242.47782
"YPF LLL-1605H,LOMA CAMPANA",3,2.616666667,458100,10859.42857,10594,70.2,11610,89,18223.44523
YPF SOIL-360,23,2.383333333,519100,8936.190476,10747,69.2,11300,72.3,18223.28841
YPF SOIL-361,10,7.583333333,537500,9645.357143,10776,69,10972,70,18219.65205
YPF LCav-840,11,2.016666667,515900,8930.833333,9644,77,10079,82,18196.22642
YPF RDMN-80,8,2.9,544100,12504.54762,9899,75,10720,80,18192.2323
YPF LCav-100,14,1.933333333,530600,8560.404762,8942,83,9052,84,18186.37589
"TECPETROL FP-1281,FORTIN DE PIEDR",13,3.216666667,495300,11450.57143,10912,68,11258,70,18182.21024
YPF SOIL-360,3,2.433333333,5395,9074.619048,10863,68.3,11350,70.5,18180.41901
"TECPETROL FP-1285,FORTIN DE PIEDR",3,2.883333333,522400,10198.7381,10904,68,11395,70,18168.88018
YPF LCav-840,6,2.083333333,460500,8751.928571,9385,79,10422,81,18167.48346
YPF SOIL-360,10,2.366666667,529700,8515.285714,10900,68,11422,68,18162.21514
"TECPETROL FP-1287,FORTIN DE PIEDR",36,2.2,4801,10074.61905,10892,68,11453,80,18148.88508
YPF Lach-203,48,1.866666667,516900,8718.428571,8753,84.6,9535,106,18145.1556
SHE.Nq.SB-1044(h),3,3.583333333,542700,11696.11905,11253,65.67,11820,68,18107.92722
YPF SOIL-360,11,2.383333333,539600,8788.357143,10707,69,11133,75,18102.98946
YPF LCav-100,12,1.783333333,477100,8431.642857,9000,82,9600,84,18083.80299
"YPF LLL-1605H,LOMA CAMPANA",27,2.383333333,539700,9297.785714,10250,72,10600,73,18083.80299
"TECPETROL FP-1286,FORTIN DE PIEDR",10,2.7,517500,10717.92857,11013,67,11250,70,18080.642
YPF LCav-98,20,1.916666667,532500,8444.190476,9212,80,9700,80,18058.31904
"YPF RDMN-217(H),RINCON DEL MANG",9,2.516666667,470600,9817.309524,10525,70,11095,80,18053.17324
SHE.Nq.SB-1044(h),8,2.766666667,5434,9901.714286,10988,67,11665,73,18039.59814
"YPF RDMN-217(H),RINCON DEL MANG",2,3.616666667,494600,11133.7619,10528,69.9,10879,72,18032.52144
SHE.Nq.SB-1036(h),3,2.6,546000,9093.095238,10962,67.12,11518,72.47,18029.1458
"TECPETROL FP-1286,FORTIN DE PIEDR",7,2.65,500500,9549.642857,10662,69,11341,71,18026.90517
YPF SOIL-361,5,2.533333333,536700,9178.095238,10907,67.4,11155,69,18013.5212
YPF LCav-840,10,1.933333333,534900,8416.785714,9189,80,9601,83,18013.23205
"YPF RDMN-214(H),RINCON DEL MANG",2,3.116666667,361900,10690.30952,10758,68.3,11120,74.2,18004.69003
YPF LCav-99,14,1.9,530800,8267.404762,9068,81,9862,82,17998.23573
YPF SOIL-361,4,2.5,533000,8967.880952,10801,68,11179,70,17997.25557
