SETresp,IdCiclo,SAP,IdCL,TipoBaja,Categoria,Componente,Motivo,FechaHora,PAD,Destino,ConCL
"2",,"11597004",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","fluid/end fisurado en piston 1","5/26/2022 5:45 PM","SB-52","Base Añelo","No"
"2",,"11970682",,"REAC","Falla mayor (Equipo no operativo)","N/A","fisura en piston 1","5/26/2022 8:30 PM","SB-52","Base Añelo","No"
"1",,"13057741",,"MOV","Mov a otra locacion sin falla","N/A","Devolucion set 2","5/26/2022 10:32 PM","RDMN-40","Se dirige a otro pozo","No"
"2",,"11317872",,"PREV","Inspeccion","N/A","baja a base para mantenimiento para realizar vtv","5/26/2022 11:45 PM","SB-52","Base Añelo","No"
"3",,"12506564",,"MOV","Mov a otra locacion sin falla","N/A","Operativa. Enviada a shell","5/27/2022 2:35 AM","LCav-26","Se dirige a otro pozo","No"
"2",,"11970698",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","fisura en piston 1","5/27/2022 2:35 AM","SB-52","Base Añelo","No"
"1",,"13057741",,"MOV","Mov a otra locacion sin falla","N/A","baja a set 2","5/27/2022 2:32 PM","RDMN-40","Se dirige a otro pozo","No"
"3",,"11970658",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","FE fisurado piston 3.","5/27/2022 1:30 PM","LCav-26","Base Añelo","No"
"1",,"13038535",,"MOV","Mov a otra locacion sin falla","N/A","Se devuelve a set 2","5/28/2022 12:00 AM","RDMN-40","Se dirige a otro pozo","No"
"2",,"12999794",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","tapa frontal del piston 2 barrida","5/28/2022 11:08 AM","SB-52","Base Añelo","No"
"2",,"12546214",,"PREV","PM / Service","N/A","prioridad 1","5/28/2022 3:59 PM","SB-52","Base Añelo","No"
"2",,"13057738",,"PREV","PM / Service","N/A","prioridad 1","5/28/2022 4:08 PM","SB-52","Base Añelo","No"
"3",,"12999806",,"PREV","Inspeccion","N/A","Se envia a base pedida por IEM","5/28/2022 8:47 PM","LCav-26","Base Añelo","No"
"2",,"12468265",,"MOV","Mov a otra locacion sin falla","N/A","devolucion a set 3","5/28/2022 10:56 PM","SB-52","Se dirige a otro pozo","No"
"2",,"12545652",,"MOV","Mov a otra locacion sin falla","N/A","devolucion a set 3","5/29/2022 3:50 AM","SB-52","Se dirige a otro pozo","No"
"1",,"11516541",,"REAC","Falla mayor (Equipo no operativo)","Computadora o sistema de control","La bomba baja con pare de emergencia roto.","5/29/2022 5:23 AM","RDMN-40","Base Añelo","No"
"2",,"12153244",,"PREV","PM / Service","N/A","pedida  por  iem prioridad 1 de  dtm shell pad 52","5/29/2022 5:42 PM","SB-52","Base Añelo","No"
