PSL,SubPSL,SAP Profit Center,Plant,Material,Description,SAP Base UOM,Unit Value L31
Production Enhancement,Frac / Acid Summary,6001010016,1608,102565092,"RING,RTNG,EXT,15.00 SFT DIA,HVY DUTY,SST",EA,179.68
Production Enhancement,Frac / Acid Summary,6001010016,1608,102565124,"STUD,1-3/4-8N-2 X 12 LG,A193-B7 STL,ZINC",EA,13.63
Production Enhancement,Frac / Acid Summary,6001010016,1608,102566472,"ASSY,CLP,SET,SEAL CPRSN,SWVL ASSY,7 IN 1",EA,400.02
Production Enhancement,Other Production Enhancement,6001070700,1608,102570431,"CBL,COAX,240 SER,N MALE TO N MALE CONN,1",EA,17.64
Production Enhancement,Other Production Enhancement,6001070700,1608,102570438,"CBL,COAX,240 SER,N MALE TO N MALE CONN,4",EA,16.65
Production Enhancement,Other Production Enhancement,6001070700,1608,102572561,"MANF ASSY,HYDR,PO CV,FOR GATE OPEN ACTR,",EA,508.54
Production Enhancement,Frac / Acid Summary,6001010016,1608,102575203,"ELL,WITH TRVL STOP,7 IN 15K WP BIG INCH",EA,3659.94
Production Enhancement,Frac / Acid Summary,6001010016,1608,102576647,"RING,W-SPR LOCK GDE BSHG RTNR,REPLACEABL",EA,7.45
Production Enhancement,Frac / Acid Summary,6001010016,1608,102576708,"CLIP,W-SPRING LOCK GDE BSHG RTNR,REPLACE",EA,4.01
Production Enhancement,Frac / Acid Summary,6001010016,1608,102577365,"ASSY,W-SPRING LOCK GDE BSHG RTNR,REPLACE",EA,38.41
Production Enhancement,Other Production Enhancement,6001070700,1608,102579859,"STK MDL,RAD,HZ,HYD/SS,3512C,LUB RT AG DR",EA,33180.35
Production Enhancement,Other Production Enhancement,6001070700,1608,102582378,"BRG,DBL TAPERED RLR,TDI,Q10",EA,9664.93
Production Enhancement,Frac / Acid Summary,6001010016,1608,102583451,"MANF,7 BIG INCH,15000 PSI,2 1502,52.38 L",EA,7129.6
